emotion, text
sadness,"` Don't be despondent , "" she told me . "
sadness,"I forced some down anyway, lol I'll regret it later RT @im_a_KEY_pa: No room for dessert. "
joy,"I'm at Burton Street Craft Fair, Sheffield. It's indoor and I can lean on a radiator but it's got christmas music playing #humbug"
sadness,I Gotta Put On Like 20 Diff Shower Caps Just So Ion Get My Hair Wet In Dhaa shower . Lmbo .
joy,The prospect of me going to Iceland for xmas is becoming very real. SO.EXCITED. 
surprise,"to the stoners, have you ever burped whilst taking a hit on a pipe lmao "
joy,"I was spending the week-end with some friends.  We were waiting for another friend and we went to the meet him at the bus stop, a  woman we met there told us that the coach had already left.  I was afraid that I would not see my friend, but at last we found him."
fear,"Oh , God . It ’ s late . I ’ m afraid I have to leave . "
joy,damn all the thirsty bitches you find on facebook are coming to twitter -__- 
fear,"I was hitchhiking and was picked up by a stranger he drove into the woods and wanted to make love with me, I refused and escaped from the car. When walking in the wood and hearing the car I was afraid."
anger,@ladyXbX @joey7barton miss carmen u need to control that ask joey he does s good job : s
anger,One of my first boyfriends got mad at me because a lot of my close friends were guys and he didn't want me to see them anymore because he was jealous.
sadness,"Was so excited that it was saturday, last day of my work week.  Then I remembered that I have to work tomorrow too. "
joy, That's perfect . I will definitely do well . 
sadness,When I saw my niece (5 yrs) crying in the hallway for her mother who had passed away about a month ago.
sadness,SICKIE! Been in Smalls' bed all day. Actively trying to get better by doing nothing...      
joy,Happy Thanksgiving to all my US friends. Much love :)  
joy,ohh the feeling you get when you read somone you like's status about the person they like. 
fear,"When I am alone at night after having read horror stories, and then I heard unexplainable noises."
fear,` I am horrified that somebody would do such a thing . 
anger,I worked together with another student on a computer-assignment. She didn't do her best and didn't prepare herself for it. She expected me to explain it to her.
anger,A girl entered in the division where I work and greeted everybody but not me.
anger, You can't be serious . How dare you not tell me you were going to marry her ? 
fear,A few weeks back my daughter had very high fever and I was scared that it might lead to brain damage or convulsions.
anger,I 'm not surprised he 's feeling peeved . 
disgust,There's a freaking limit to how desi you can get in a foreign country. 
anger,Being told that I have not got a personality.
fear, God and you'll have no reason to fear anything/anyone else!
surprise,She squinted in bewilderment at the ten or so boarders who had formed her little band of helpers . 
fear,"And the of the #LORD fell on all the kingdoms of the lands that were around #Judah, so that they did not make war against Jehoshaphat."
sadness,When my family and I heard of the death of my grandfather.  We had  seen him a few weeks earlier and it seemed that he had just been waiting to see us.
joy,"Currently being overwhelmed by year 9, they have such weird and wonderful career ideas and subject choices "
sadness,"&quot;That depressing moment when you start talking to someone really attractive, but they can't keep a conversation going.&quot; #sigh"
sadness,Stick with the true mates u got not the fake one that have a go at u for no reason 
sadness,"Es en noches asi q lo unico q quiero es hablar con una amigaaaa, y nadie quiere, nadie atiende, lo q sea. Me fui a ver awkward. :( "
sadness,@CVickery615 atleast I don't talk to people I've never even met 
joy,"@jay_sumiet sala naseeb karab, katrina toh nai thi par usne hame train nai kiya hume swimsuit mein dekh dekh hass rahi thi"
neutral," Oh , I'm afraid all the flowers will die in the rain . "
joy,When I passed the university entrance exam.  I had thus finished with a difficult period of my life and I was about to begin one which I had desired a lot.
joy,The first day it snows and I almost get stuck in the ditch It's going to be a long winter for me 
sadness,"@laurenlizglitz ahaha gotta love that glitter. And yeah, I think so!   #partytime"
neutral, Yes . 
sadness,"When I heard about the death of Frantois Truffaut, the French motion  picture director, on the radio.  I had planned to go and see his last film."
fear,A neighbour's girl had disappeared and many people were looking for her.  Someone had gone to notify the police.  Something had certainly happened to her.
sadness,He was miserable at being left out . 
surprise,"RT, follow @unitednude and WIN one of the 5 special collector items that we are giving away to our Twitter friends! #RT #WIN"
joy,Uh full bout to go to @a_laveck house for more food 
joy,When I Lose A Game I Blame Whoever's Close 
joy,"He was a professional musician now , still sensitive and happy doing something he loved . "
sadness,@DjPaulyP_ thought I should make up for lost time because I can't tweet from this loner phone haha 
anger,She showed her anger in public by virtually ignoring Charles . 
anger,Getting help with your anger starts with talking to your GP. If you are in Gloucestershire you can call Let's Talk on 0800 073 2200 
fear, - great time to think about how to make  to our world one of  &amp;  free from  
surprise,back in tampa a day early!
sadness,Ugh...I feel ugly. Wait! I am ugly = ( 
joy,My alarm informed me that its going off in 2 hours and 37 mins. 
joy,Can't wait to give out my Christmas gifts! Love when others are happy! Got 2 more weeks before the Christmas fun can begin!  
fear,I  was always afraid I'd end up like Jody from &quot;Baby Boy&quot; &amp; I don't mean bald &amp; black.
joy, if you live in San antonio Texas :) Christmas music is the best #christmas
surprise,sur mon compte: c'est mon cadeau de noel! looooooooool laisse moi tout foutre sur mon compte épargne mouahahah
joy,Black Friday at the mall is some big High School reunion. #getmeoutofhere
surprise,some people you just gotta learn not to piss em off   cuz i use your own shit against you #dontbeabitchthen
joy,@BlueEyedShinobi you ever do the pledge and moment of silence with poop on your shoe? 
fear,As Much As MUFC Would Want to avoid any big teams in the knckouts if they dont top the group. The big teams would want to avoid United 
joy,I'm ready to go to sleep. But no..I have a cheer competition. 
neutral," Of course I can . It's a piece of cake ! Believe it or not , I can do 30 push-ups a minute . "
sadness,My dad took the ipod in the beginning of my gift and my curse. Since its pandora i cant get it back.  
surprise,zo aanfietsen naar  gelukkig maar les tot kwart over 12 en daarna&  tot ong half6 en vanavond thuis!
joy,Jesus. Others. Yourself. Let's all focus on this season.
sadness,They are sad for Johnny Bryan because he can never truly be a member of this particular family . 
surprise,"Stay here coz i will be sharing v awesome stuff till 2 or u can come back by 2 lol , it will make ur weekend just perfect "
fear,end of life symptoms/not eating sleeping alot/is Ma's life ending?       
joy,i feel too ill for words and have to be up at 7 tomorrow for work. 
joy,Break! You're holding balloon strings. Each balloon is a concern. Let go of 1 at a time &amp; watch them float away. #LJB
joy,@tynch_ Hehe. I was also tempted to do so. I love it. Don't want to get out of them. 
sadness,My friend not allowed to go to the English lectures.
sadness,Some people Swear that they're  ...but they really don't have a  bone in they're body! 
sadness,haven't been so discouraged and broken in awhile 
surprise,"@jny23ug oh Happy birthday,i know that feeling. Do something special for her. A would be great."
sadness,It does at times reveal a certain despair over her present situation -- a fact that is rather concerning . 
joy,I had a very pleasant conversation with one of my friends.
neutral," I did , but he gives me a runaround . "
joy,"the SECOND I start telling @la_Jade a story, the cab driver starts blasting music so loud I can't hear myself think. "
fear,"the underlying problem with the human condition is our addiction, paired with sentimentalism. love in practice is a rare gem indeed."
joy,is my kids reaching into their stockings on Xmas+watching the smiles on their face when they find gorgeous @TheBodyShopUK animal soaps
fear,You know i spend money cause spending time is hopeless 
sadness,"&quot;@iChrisg2009 #HEARTBREAK: I feel upset about this scandal. I was speechless, and I feel like i failed miserably. No u didn't"
sadness,"But one day when the lord was off hunting the fox said : "" Friends , we are all happy and contented , but our master sometimes seems rather sad and downcast . "
anger,"Robyn leant against the door to the office and found herself experiencing the old , familiar surge of deep annoyance . "
surprise,I really hope maintenance enjoyed seeing how pretty I look when I first roll out of bed 
sadness, I'm afraid I've got a terrible cold . What should I do ? 
sadness,can we make trend for someone #sleepwithjosh sake @fanzoid321 @fanzinator @stoner_kelly @brenna_bean
joy,Sale sale sale! :&quot;&gt;
fear,You block your dream when you allow your fear to grow bigger than your faith.  ~Mary Manin Morrissey #quote
sadness,I feel old. I don't recognize any Disney Channel shows and now I'm older than most of the stars.  #childhood
joy,"has dawned upon the world, promised from creation-God's salvation now unfurled, hope for ev'ry nation..Gloria, in excelsis Deo! / Getty"
joy,The computer at school had left out my name along with four others and I had no rights for one year.  So I was happy to find my name on the medical schhol list.
neutral, Not at all . The feedback from audience has been great . I care about what they think more than what the critics think . 
sadness,"@summersebastian I miss you more! I'll be home tomorrow! (Today, depending on when you read this)!  "
sadness,Selling all of my old snowball dresses and my first homecoming dress  ):
joy,&quot;I GOTTA KEEP IT ALL IN THE BACK OF MY MIND.&quot; Expire and an ice cream cone. 
anger," Oh , this one is perfect . "
anger,"When I travelled all the way to my former school to collect my certificate, only to be told that I owed them some money, I knew nothing about this."
fear,"When, as a child, I was nearly knocked down by a car."
joy,It's called maturity and growing told my dad that I forgave him for everything he did to me in the past 
sadness,It's been 2 years since my dad died :/ love you dad. :/
surprise,What would this lady do if I did my future occupation on gogo dancing?! 
joy,my head hurts. we have a choir concert tonight. #therepointless
joy,"I do n't suppose you 're overjoyed that I 've got a friend in the rival camp . "" "
anger,"I've come to the conclusion that I do have an issue, especially for folks who know better!"
neutral, Thank you . 
neutral, Hope so . 
neutral," do me a favor , and take a taxi . It'd make me feel a lot better . "
joy,just finished the last paper I'll have to write for the rest of the semester :D COPIOUS AMOUNTS OF !!!
fear,"When I was cycling through the park late one night, two people jumped out of the woods and tried to stop me.  There were shouting something at the same time."
fear,His comments are a major diplomatic gaffe as the CRC has supported the region in its disquiet over the CRE 's decision to begin an investigation . 
anger,"I was the compere at a party and all my efforts to get the show rolling were thwarted by the immobile, non co-operative guests.  I felt frustation - bordering on anger."
sadness,Deliquentes no rio...q-tip em sampa...e eu sem grana em bh.....feelings.....
fear,"&quot;@RevRunWisdom: not afraid of tomorrow, for I have seen yesterday and I love today #less&quot;"
fear,"“@RevRunWisdom: not afraid of tomorrow, for I have seen yesterday and I love today #less”"
anger," At cars ! You aren't thinking about buying a car , are you ? "
joy,Got powderpuff outfit finally all planned:) ...now homework. 
fear,When I was coming back home alone at night.
surprise,making a birthday cake for my mommmy &lt;3 
shame,He cursed his lack of self-control ; he knew that the old biddies had seen it and he felt humiliated . 
fear,Strictly avoid frightening ideas 
sadness,Haven't left my room today/  
joy,So the theme for today is Find the joy and happieness in your lives today and delight in it! Go through the day with a joyful heart....
joy,"When I got admission in M.Sc (I) Organic Chemistry, I was very happy."
anger,"And the and the #Sorrow mixed up, leads #Mistrust now it gets tough to ever #Love again..."
sadness,Grading...If I give a take home quiz over break I am obviously gonna collect it and grade it! 
neutral, Why ? 
sadness,Went looking for it / because I knew it to be true / regret finding it.   
surprise,"Okey... Het is nog steeds een wiite doos.... Hahahaha , nee dit is echt erg.. Pfff morgen moet ik 'm ECHT afmaken!! equals #drama!"
sadness,First day back to work. Almost texted @ChristenBohanon to see if she wanted to have lunch. She doesn't work w/ me anymore. :(
surprise,Celebrating my besties birthday @ tgif's party!!!! Then casino!!!!!!
sadness,"By comparison , she felt drained and despondent . "
joy,Each present or sorrow seems the chief.
joy,"@wyseh ←TY♥ for visiting my web site, really  your support and feedback, such a to receive your tweet!! Big Hugs!"
joy,But I have work ...4 hours of pretending to be happy 
fear,I saw a man who had had a heart-attack and who was being treated for it.  I feared that my own father could have been there.
surprise,When I find things at the bottom of shopping bags I forgot I bought &gt;&gt;&gt; 
anger,Fruit and vegetable growers in the area are furious about the decision . 
joy,"I am thankful for cookie crisp cereal, i thought they discontinued it! "
anger,  is a word f that some man coined once upon a time to express his state of #frustration wiht #humanity
joy,"Imagen if there really were 12 days of christmas... That means 12 days of presents, 12 days of feasting, 12 days of getting hammered "
surprise,“@Kota_GotHoesMad: bout to take a bath relax listen to sme ♪♩♪♩ and wait on my ;)” caking ass lol love u nite
surprise,I love finding things I never even knew I had with the tags still on it . . !
joy,"Delighted at having gained his complete attention , Lori squirmed in her seat . "
joy,dish washer is broken. got to wash all our dishes by hand now 
joy," Oh , thanks a lot . "
joy,"Like many others i am so thankful for my loving family, friends, and God. feeling so blessed. "
neutral, Be careful . 
fear," in the morning,  in the evening. It's been a good day."
joy,I have said we will be pleased to provide back-up with visitor 's packs etc and that I would inform you of the request . 
sadness,im so cold and my beds so empty tonight 
sadness,probably just wearing jeans tomorrow... 
sadness,"sad thing is yoway is next door n i havent even gone yet, "
fear,"Barely registering Gwen 's horrified face , she turned and whirled out , crashing the back door against the wall so hard that the echoes seemed to follow her fleeing figure . "
joy,Ahhhh the simple things in life!! RT @Plusmodelmag: Three's Company Marathon tomorrow on @TVLand.  
anger,Yo denim stfu this science teacher sucks n you keep dragging on her lesson omfg pleAse shut up. shittttt.. THIS IS SCIENCE NOT SPORTS 
fear,"A bus drove over my right leg.  The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened."
neutral, Sure . 
surprise,Beloning voor een dag hard werken: koffie en appeltaart! 
fear,"One day during our clinical practices, we had a very ill patient. Unfortunately the patient passed away. I had seen him dying and it was the first experience. During the night I became afraid fearing the dead body."
sadness,@Wendys yesterday I went to one of your restaurants and they were out of  vanilla frosty:( 
sadness,"Little Sis and her boyfriend are watching Bill and Ted, but they're also snuggling so I'm not welcome. "
surprise,i love how i always think I'm gonna have a great day. nothing ever happens like i think it will. another shitty dayy 
joy," I get it . You want to find a guide , don ’ t you ? "
joy,Tonight will be my only sleep until Friday night. 
anger,"I'm crazy about football. When my team lost a goal in the Paulist championship, and so it lost the classifications."
sadness,I miss  @Adamtravis40  and football season 
sadness,"When my father passed away in 1978.  I was left alone with my mother who was very sick so I had to go and live with my aunt, who is very short tempered, till my mother was discharged from the hospital."
joy,On the way to pick up my little sister from school -.-
neutral, What is it ? 
joy,I don't need present's of king's but just just to be in the presence of The King  #Peace #PleasuresForEvermore
sadness,For some reason I woke up thinkin it was Friday then I got to school and realized its really Monday -_- 
joy,I loev my little babirs. I love break. I love my lifs. I love ALL OF YOY. EVERYONE. EVEYRWHERE! 
surprise,"Lootje maken voor vanavond! met Hanneke, Marc en Mama"
surprise,@Pkkkk_ so gassed about turning 18 he thinks hes a man your still a bitch
anger,"On the verge of crying after my intro and thesis to my paper are gone due to a computer glitch ! Now, back to the drawing board  "
fear,"Just before we were to go upstairs to be photographed , an agitated Nigel Lawson came up to me saying that he wanted a word . "
sadness, I'm sorry . That must have really been a nightmarish day for you and your family . 
joy,Break! A FedEx guy is knocking on your door. He has a box for you. Sign for it &amp; receive it! #LJB
joy,My afternoon consists of learning my lines for drama and finding all my school books for tomorrow. 
sadness,The dying of a close member of the family.
joy,I have tickets to The Phantom of the Opera on Friday night . Would you like to go ? 
sadness,Her apologies dont help the fact that my face hurts!  #MinorHeadaches
fear,When I was just to be divorced.
anger,"@ScroOodles i havent really slept, this damn food wont go down "
sadness,"why ppl ignore wo like them &amp; like who ignore them,all guys r same here &amp; no1 r helpfull.. &amp;#unluck ve covered me."
joy,Another long day of work 
fear,"The time I drove my uncle's car, without having asked for his permission.  It was the first time that I was driving a car."
anger,People with complicated orders in Starbucks line T_T 
joy,Hearing my girlfriend accept my offer of marriage.
sadness,"My boyfriend with whom I had a longlasting relationship, fell in love with another girl, then he asked me something which implied that he loved that girl more than he loved me."
surprise,Wife's Christmas gifts?  Check.  
joy, I do like Thai food . Did you see much of Bangkok ? 
sadness,"Watching \11 am\"". They had a programme on the starving refugees. Their plight was a source of sadness for me."""
sadness,"@ARettura is my  sister, she'd take care of my fish  @jpowers11 @lpowerz don't even like me! "
joy,What's better than a cozy night with family &amp; friends  
neutral,Mom . My legs are killing me . 
fear,"How in my wildest dreams am I going to get £14,000 to pay for my sister's fees before monday? As an entrepreneur?  #faith"
joy,"After attending a song contest proposed by a band called \Chyne\"" we (6 of us) waited for the members of the band to greet us in front of the stage.  We went out after a few minutes as it was time to close the hall.  We had been waiting at the entrance hall for ten minutes when three of the band members came out.  They were very excited to see us, one of them was so excited that he had tears in his eyes.  We felt very warm and close to each other.  They took us back into the hall and we talked freely.  We were together for about an hour and during this time we felt that they were very sincere."""
joy,"Because I am extremely cranky and worn out, I would like to announce that my 1yo niece, Little Green, said my name this weekend! "
anger, He doesn ’ t lift a finger ! I bend over backwards cleaning up all day and he sleeps in until noon . 
joy,The feeling of joy when again I had confessed my sin and experienced God's forgiving grace and cleansing power - total enlightenment and freedome - bliss.
joy,"Wanna curl up and stay in my bed. But no, softball owns my life. "
disgust,suck my fucking dick!  
sadness,After an exam which I failed.
joy,Sick with Strep Throat oh the of family during #fluseason.  #killmenow
fear,"So after my tooth crumbled earlier this wk, I'm finally @ the dentist to get it extracted.  "
anger,Had an argument with my classmate for borrowed books.
joy,My boss decided to call me into work today -_- 
joy, school rings to say that Phoebe wont be back till 1.30am this morning! Delayed by traffic leaving Brussels and missed ferry slot
sadness,It just hit me that I won't have my mama's dressing in two days ...... 
sadness,"it's a sad day today, the last day of westlife being together, think I'm gonna greet :( "
anger," You don ’ t love me , Roy . "
joy,"I cannot believe that musical practice just got over. If tomorrow is the same, then early morning dance Wednesday is going to be a "
joy,Maybe we will actually take the test today. Want to get it over with. 3 hours and 45 minutes in a room. #cantwait
joy,"I was sitting for an exam in biochemistry, I was very excited because it was a supplementary examination. I passed the exam very well and was glad because I recovered my selfconfidence."
anger,wiiiiiide awake after being tired all day! 
joy,"When I was selected for higher education, i.e grade 7 to formI."
sadness,&quot;@MILF_Squared: @ludite_bris don't you dare waste a Daryl by turning him in to a walker!&quot; @amc.Shame you dont sell outside the USA. 
joy,@TheBodyShopUK seeing my baby girl smile for the first time is giving me 
anger,Why the fuck are all these ugly ass bitches commenting on my Facebook post? 
anger,"` I still feel quite peeved about it ; well , more than that really . "" "
joy,Fun night :) now time to be productive 
joy,"Done with statistics :D now all I have to worry about is business, math, arabic, english and religion. "
disgust,@redeyechicago it made my skin crawl. Does Sandusky WANT people to know he's guilty?  
joy,Listening to Zelda music remembering my childhood.  #tears
joy,"Headache. And, back pains. #sarcasm"
anger,"-  is short, live it.  is rare, grab it. is bad, dump it. #Fear is awful, face it. #Memories are sweet, cherish them."
joy, Okay . Thanks for your help . 
joy,"Not so , according to elated opponents of nuclear power . "
surprise,"Dochter halen op  in Terneuzen, bijna klaar, #gedichten komen gestaag af, goed begin van het weekend!"
neutral, Jog ? 
joy,Just bought the 'Elf' Blu-Ray! I am sooooooo happy!    #peaceonearth
surprise,@remingtonkoyl oh yes of course! I hope your mom doesn't have a twitter sssssshhhh PS-tell Paul I say hiiii
joy,"I often find myself laughing to myself, aloud. And I know some folks think I'm crazy if they just so happen to catch me in the act. "
surprise,Nieuwe tas en bakspullen gekregen voor sinterklaas maar ben toch t meest blij met just dance 3 #sinterklaas
joy,The old man answered my knock and his big face split into a delighted grin when he saw me . 
anger,"On a recent visit to a day centre , which served both younger disabled and old people , I was told that old people were envious and resentful when computer learning was introduced for the younger disabled people . "
sadness,Why do the weeks off work go by sooooo quickly?! I am making the most of tomorrow!!  
joy,"Think I best get some sleep, I've got 'Killer Tuesday' tomorrow. "
joy,Just noticed I left my science binder home. 
joy,Had a praise session at work today :D 
surprise,Ain't been irritated or aggravated today dats a big ass 
joy,This beat deserves Hennessy a bad bitch and a bag of weed the holy trinity.....
fear,This sound guy is so fucking fired.  
joy,What an A-W-E-S-O-M-E Day! Make someone's day awesome too! Make Eye contact and Give them a big SMILE!  @WINwithGIN
joy,"What does stand out is that everyone believes that the profession , its standards and its aims , matter , and they all feel an excitement about the job of acting . "
joy,"all I do on Mondays is homework, well this Monday i get to do my homework and help Philip do his "
joy,On holidays - just driving along a road beautiful scenery. Just with my boyfriend - not really talking but just feeling overwhelmed.
joy,Contented workers are more likely to be profitable . 
joy,Cancelled work due to this ridiculous pile of books i have to go through. En route to live in the uni library till wednesday 
joy,@WomenCentric Thank you!  I love spreading my  #hope and #love all over the #world.  It makes the world a better place! :D
disgust,Just saw the Jersey Shore season 5 preview. Has Deena always looked this much like a troll? 
fear,I have done the teachers training course (B.Ed).  During our training I was asked to handle the ninth standard class in a boys school.  I was scared to face the class the first day.
fear,I no longer make eye contact with strangers in public for the fear that any one of them could be a Spr*nt customer.  
joy,I have to say my sister is the best EVER.  She downloaded the @GavinDeGraw Itunes session for me because I can't get my Itunes working. 
joy,Wrestling tournament tomorrow what a 
sadness,I miss you so freaking much! :'( & it's your turn to talk to me. 
anger,@Charmz90  I'm coming to odessa give me a bitch to fight....built up.....
anger,"` He deserves a proper thrashing , "" Cissie protested , fiercely indignant that she had been unable to defend herself while her cowardly brother took delight in whipping her . "
fear,"I don't wanna live like my mother, I don't wanna let rule my life."
fear,"Barely registering Gwen 's horrified face , she turned and whirled out , crashing the back door against the wall so hard that the echoes seemed to follow her fleeing figure . "
fear,A great weekend of rugby but a horrible weekend of study ahead! #HonMunster #ConnachtAbu
sadness,@_sugaHoney unsung could have a whole season of shows just based on the artists at Bad Boy 
fear,If she 's so anxious about my welfare and morals it 's a wonder she has n't come stamping up here to check out the situation for herself . 
joy,I'm Jus tryin feel a lil cause I felt so much #Pain niggas would cross yu for personal #Gain
disgust,Whoa O_O RT @BarbieKinzZ: Facebook has turned into a platform for perveted men to freely&amp;unshamefully like &amp;comment on porn!
anger, I don't buy a story . 
surprise,Your Dad For Fathers Day - Locate Lost Family Using a People Finder Search  #article 41733 Myartsubmit
joy,"Imagine my excitement , therefore , when it seemed recently that I might have stumbled across it in the shape of the Tower House in Malmesbury , Wiltshire . "
fear,Getting lost in a strange place.
fear,"Doris , I'm glad you're home . I'm terrified . I don't know what to do ! "
surprise,Cannot believe ollies home! After 5 months to knock on our door as if he'd never been anywhere... !!! :D
sadness,When I had stayed abroad for a long time and I had remembered about my friends and relatives. I felt sad and I wanted to see them as soon as possible.
sadness,"Sometimes, when I'm alone I am seized by this feeling. But it always helps me to come round and at the same time to judge if it is worth. Very often this feeling is caused to me by people - friends who I love and respect."
anger,@Janey_Platty @tinkyjen just said she's watching harry potter - prisoner of alcatraz ...... 
joy,When I learnt that I had been accepted at university.
sadness,@dyondzaniKS Well... Both are fine. I'm not though. Khenso and I stayed up all night last night waiting for you to call 
sadness,Dick Vitale is calling the Ohio State/Duke game. 
anger,"And while she sounded sympathetic , she was in reality infuriated with Doreen . "
joy,14 hour work day... 
neutral, How come ? 
joy,One could get terribly ecstatic but that would be a dangerous thing to do . 
surprise,Takin a nap then making something yummy for someone special:)
surprise,"My entire family is a bunch of liars, but good ones at that: @mattnoblitt has landed a day earlier than expected! smiles ALL over!"
joy,The day of the exams and no trains from springy. I love you metro. 
joy,So wide awake working on American Wars papers 
sadness,"I walked more today and yesterday, than all the days of this month combined .. "
anger,In me battled a flood of relief at being reprieved and anger at such vile deception . 
sadness,Someimes words hurt More than  Actions i wish i could take back the words i said 
joy,"Oh wow, waking up to my dads weekendly classical music fetish. -_-"
fear,Fear cannot be without hope nor hope without fear. -- Baruch Spinoza   #courage #strength
joy,"Glancing up at his face , Cassie saw his expression change , his face darkening and hardening as his mounting excitement and desire seemed to quicken into something uncontainable , threatening , like the tide of an incoming sea , to engulf them both . "
sadness,@luffwoto Loved it ... belgium is a pretty place ... but sadly i had the flue :( 
joy,So i let these girls go &amp; got in touch with god! in my heart
fear, I pressed the emergency button ! And then I stayed in the elevator waiting for the rescue . 
surprise," throwing random parties in bio, without telling ms Rowland beforehands.. Lol everyone would just show up with food "
joy,"His moist mouth suckled , and when she gazed down at his rapt , contented face she knew that she was lost to him . "
sadness, I ’ m not in the mood . 
sadness, I can't . I am really behind of my work . 
neutral, What about ? 
neutral," Yes , of course.It was nice to see you . "
surprise,mom is about to walk in the door any minute 
fear,ahahahah D: Necestio el Guitar Hero 3 Legend Of The Rock T-T 
anger,"phones getting fixed finally, this is why you shouldn't whip your phone at a wall... "
sadness,@PalpitatingPaul I miss u more that a fat kid on a diet misses food 
sadness,...my speakers aren't working right.  Sound from the one's coming in and out and it has a static-quality to it. ;-; 
joy, I know what you mean . I could use a vacation myself . 
sadness,THE glum look on the face of England Manager Graham Taylor says it all  but he has no intention of quitting . 
sadness,Now Albert can eliminate the American league. 
neutral, No problem . 
sadness,From the despair in the parson 's eyes the doctor saw that this remedy had already been tried to no avail . 
sadness,Always when I get separated from my friends and relatives from my home town.
joy,So tired.. Getting ready then off to grandmas house! I wish I had money to shop tonight
sadness,"Feeling desolate , she climbed back into the car , not daring to look at Roman in the silver moonlight . "
surprise,@leon_dixon yeah my back box has split. Need a new one. Can't tell ya yet though 
sadness,I was told that a friend of a friend committed suicide.
sadness, Whatever am i going to tell me parents . 
sadness,Ugh missed the America horror story 
sadness,hardest thing is caring about someone who doesn't care about you 
joy,Have been released from cookie duty. 
disgust,"A woman is accused of stabbing her husband, cutting his body parts up &amp; cooking him -__- "
joy," I not only passed my test , but I aced it ! I'm so happy ! "
anger,"Why has the Littlewoods advert decided to dispel the importance of Father Christmas? It's all about the magic, not rapping children. "
fear,"“@RevRunWisdom: not afraid of tomorrow, for I have seen yesterday and I love today #less”&#xA;&#xA;Agreed"
fear,"“@RevRunWisdom: not afraid of tomorrow, for I have seen yesterday and I love today #less”"
anger,Am I so wrong to be so upset over my things being used in ways they were not intended to do? No longer useable!  #defiant
joy,When I was told that they had got tickets for me for a film marathon I wanted to see.
fear,Getting ill.
surprise,"Ada mi, cuma na simpan ☺ RT @AndiNilasari: klo kaya itu sdh adami skrg  tiffany ring d jari ku kk :( |#merendah --&gt; @chiwankmatto"
joy, I'm sure you'll have a good time . 
fear,The Scary Moment when your teacher says that they're gonna start calling on random people 
joy,"Arrived home to find 4 fire and power trucks w/flashing lights on my block. Yep, the whole block is pitch black and without power... "
fear,"Well the birthday surprise was a fail, that professor has chronic bitch face. We freaked, ran in, threw her gifts at her then ran out. "
fear,"As a food and store safety officer , I felt dismayed and frustrated to see in the Journal , members of staff wearing inappropriate jewellery and , in high risk areas , all hair not kept within hats . "
surprise,So I pull up and my damn mama ain't even here 
joy,Just got back from swim practice and now about 7 hours of school 
fear,"Ok donc à qq minutes près, j'étais sur les lieux d'un braquage en live. "
joy, were awesome! now listening to country music on pandora  Essay writing and ACCT hw left to do #butnotreally
neutral," Hi , Alex ! "
surprise,I hope you stay tuned because there will be some news at 6PM! #bishibishi #guesswhat!
neutral,Here ’ s your hot dog and beer . What happened ? Did I miss anything ? 
sadness,"L'ami qui écoute sans repères de Sniper, histoire un peu trop vrai pour lui. Je vous avoue que je sais pas comment réagir là "
joy,WHY do I have to be the nice kid in my neighborhood?? Now Im the holiday dog walker. 
joy,@Kez_Turner we do cherub. Apparently its like 4 hours long too! 
joy,"He felt elated , warm-hearted at the sight of the place where he 'd been born . "
anger,Berthon was livid at one of his cars being butchered but had to acknowledge that it handled better . 
sadness,"Perhaps parts of the US will realize that the 2nd amendment is by no means absolute, and enact stricter gun control laws. "
sadness,"Omg I hate it when you get a txt from someone that can make you feel down, when your life is going great! "
surprise,Love when my littles come running in my apt in the middle of the night @MademoiselleTMA @lindseysilva  
joy,"Digging through some old stuff, just found an old-school Houston Oilers hat from my childhood. Best day ever. #ChristmasMiracle"
fear,Gut wrenching pain. Please don't let it be true 
fear,"@Mike_Davids0n that's a bad bumper sticker, not a rational argument.   "
joy,"I sensed such a feeling when I understood I was admitted to the University. I was at home, the atmosphere was still, though I myself was full of suspense. I tried to do different things. When the telephone rang and...! Yes, of course there were other situations when I felt a similar feeling but I was unmindful of them."
sadness,"Several years ago my mother died. She had been ill for a long time, but nevertheless her death came unexpectedly. I did not and I still do not want to believe that it is true."
anger,"Diehard fans might be miffed at some of what 's left out , but it 's tough to argue against any of the songs included ."
sadness,Crickets! I forgot my earphones at home...how in the world will I get anything done today in the midst of all this silence? 
anger,My mother read a letter that a friend of mine had written to me telling me how she had got drunk the last time.
joy,Now time to look for butt and leg workouts and then heading to the gym to kill my body 
surprise,@ShitJRoganSays that's cuz @SugaRashadEvans is a Kiss Ass Bitch and will do whatever @danawhite tells him 2 do includin homo shit! 
surprise,wachten op sinterklaas met me beer die ik heb gekregen van @Khanin123 hahaha 
joy,Rise n shine!  Its a beautiful day n I'm filled w/ the and #LOVE of #Jesus .  #Get2KnowHim #relationshipiskey #amen
joy,i feel so comfortable and so great. these are the chillest people in the world. can't wait to be part of the family&lt;3 
fear,"&quot;not afraid of tomorrow, for I have seen yesterday and I love today #less&quot;"
anger,I Swear If This Girl Take It Upon Herself To Get Infront Of Me When Im Waiting For My Food Im Gonna PUNCH Her F'n Head Off Issues
surprise,@igsmalls poland is ranked high for best looking people in the world. 
sadness,And apparently I have been so selfish that now all of you have left... =[ #idontblameyou #istillloveya #TeamCaitlynnForever &lt;3
